,asylumTotal,entry,population,asylumByPop
Belgium,44665,,11237274,0.3974718424
Bulgaria,20375,200000,7202198,0.2828997481
Czech Republic,1515,,10538275,0.01437616688
Denmark,20940,,5659715,0.3699832942
Germany,476510,,81197537,0.5868527761
Estonia,230,,1314870,0.01749222357
Ireland,3270,,4628949,0.07064238556
Greece,13210,200000,10858018,0.1216612461
Spain,14780,10000,46449565,0.03181945837
France,76165,,66488186,0.1145541856
Croatia,205,,4225316,0.004851708133
Italy,83535,100000,60795612,0.1374030086
Cyprus,2265,,847008,0.267411878
Latvia,335,,1986096,0.0168672612
Lithuania,320,,2921262,0.01095416981
Luxembourg,2505,,562958,0.444971028
Hungary,177130,,9855571,1.797257612
Malta,1850,,429344,0.4308899158
Netherlands,44975,,16900726,0.2661128285
Austria,88160,,8576261,1.02795379
Poland,12185,,38005614,0.03206105287
Portugal,900,,10374822,0.008674847626
Romania,1255,,19870647,0.006315848699
Slovenia,275,,2062874,0.01333091599
Slovakia,325,,5421349,0.005994817895
Finland,32345,,5471753,0.591126829
Sweden,162455,,9747355,1.666657262
United Kingdom,40150,,64875165,0.06188808922
Iceland,345,,336728,0.1024565822
Liechtenstein,155,,37461,0.4137636475
Norway,31115,,5142842,0.6050156703
Switzerland,39450,,8238610,0.4788429116
Total,1393880,,,
